					Velocity	Cruising	Cruising	Bursting	Bursting	Freezing	Freezing	Turn angle	Meander	Angular velocity	Rotation	Rotation 2
Medium	Trial     6	C3	0:07:00-0:08:00	In Arena	1.13664	16	0.8	2	0.24	5	58.68	119.042	50.4669	2976.04	1	0
Medium	Trial     6	C3	0:08:00-0:09:00	In Arena	2.21699	61	3.12	4	0.8	21	55.04	107.104	46.2652	2677.6	2	2
Medium	Trial     6	C3	0:09:00-0:10:00	In Arena	1.64185	44	1.92	2	0.16	18	56.72	111.634	45.9515	2790.86	3	3
Medium	Trial     6	C3	0:10:00-0:11:00	In Arena	1.82187	52	2.52	3	0.52	21	55.84	113.032	50.6446	2825.8	3	2
Medium	Trial     6	C3	0:11:00-0:12:00	In Arena	1.82904	25	2	4	1.08	11	57.2	115.115	55.5691	2877.88	0	3
Medium	Trial     6	C3	0:12:00-0:13:00	In Arena	1.09177	17	0.88	1	0.2	5	58.56	117.234	56.3443	2930.86	1	1
Medium	Trial     6	C3	0:13:00-0:14:00	In Arena	1.01454	14	0.76	2	0.24	4	58.76	116.14	57.939	2903.51	0	1
Medium	Trial     6	C3	0:14:00-0:15:00	In Arena	0.916225	15	0.6	1	0.04	5	58.76	117.674	61.0098	2941.84	1	0
Medium	Trial     6	C3	0:15:00-0:16:00	In Arena	11.1844	513	26.24	36	6.56	31	13.68	63.4733	7.5307	1586.83	4	4
Medium	Trial     6	C3	0:16:00-0:17:00	In Arena	9.7647	606	26.16	11	2.08	26	10.04	51.2017	6.36055	1280.04	2	5
Medium	Trial     6	C3	0:17:00-0:18:00	In Arena	9.87091	592	26.04	15	2.6	28	10.84	42.3491	3.64783	1058.73	0	6
Medium	Trial     6	C3	0:18:00-0:19:00	In Arena	11.0466	631	28.08	14	3	21	7.32	40.9917	2.56505	1024.79	2	4
Medium	Trial     6	C3	0:19:00-0:20:00	In Arena	11.0946	628	27.96	11	3.04	22	7.32	46.7996	3.28183	1169.99	3	5
Medium	Trial     6	C3	0:20:00-0:21:00	In Arena	3.15023	175	7	0	0	44	47.08	101.565	37.6669	2539.12	6	8
Medium	Trial     6	C3	0:21:00-0:22:00	In Arena	1.01493	15	0.92	2	0.36	4	58.6	117.248	67.9807	2931.19	2	0
Medium	Trial     6	C3	0:22:00-0:23:00	In Arena	1.29769	17	0.92	1	0.28	8	58.52	119.015	53.1714	2975.38	0	1
Medium	Trial     6	C3	0:23:00-0:24:00	In Arena	1.11991	10	0.64	1	0.28	4	58.96	116.245	52.5431	2906.13	0	1
Medium	Trial     6	C3	0:24:00-0:25:00	In Arena	1.27533	38	1.52	1	0.04	7	57.12	112.455	53.8629	2811.37	0	0
Medium	Trial     6	C3	0:25:00-0:26:00	In Arena	1.19341	32	1.48	2	0.2	8	57.28	110.974	60.5621	2774.36	0	3
Medium	Trial     6	C3	0:26:00-0:27:00	In Arena	1.20705	10	0.96	3	0.6	4	58.72	109.923	48.6761	2748.08	0	1
Medium	Trial     6	C3	0:27:00-0:28:00	In Arena	1.01325	8	0.68	1	0.36	3	59.04	117.517	62.051	2937.91	0	1
Medium	Trial     6	C3	0:28:00-0:29:00	In Arena	0.904156	6	0.44	1	0.24	3	59.36	120.315	57.2267	3007.87	0	1
Medium	Trial     6	C3	0:29:00-0:30:00	In Arena	0.599924	0	0	0	0	1	60	120.511	64.7969	3012.79	0	0
Medium	Trial     6	C3	0:30:00-0:31:00	In Arena	11.0369	498	24.52	16	4.92	37	16.44	66.5042	9.22148	1662.61	4	3
Medium	Trial     6	C3	0:31:00-0:32:00	In Arena	5.07932	234	10.32	7	1.16	28	40.92	107.615	17.9001	2690.39	11	7
Medium	Trial     6	C3	0:32:00-0:33:00	In Arena	1.57386	0	0	0	0	1	60	121.154	29.0325	3028.84	4	2
Medium	Trial     6	C3	0:33:00-0:34:00	In Arena	6.48698	292	14.28	12	2.8	40	34.8	93.1198	16.616	2327.99	7	12
Medium	Trial     6	C3	0:34:00-0:35:00	In Arena	3.83634	160	7.28	4	0.76	26	46.68	106.889	21.6782	2672.22	2	11
Medium	Trial     6	C3	0:35:00-0:36:00	In Arena	3.67624	137	5.96	2	0.48	42	49.52	111.559	26.8302	2788.99	14	21
Medium	Trial     6	C3	0:36:00-0:37:00	In Arena	2.57866	98	4.52	4	0.64	37	52.44	115.698	33.8806	2892.44	6	12
Medium	Trial     6	C3	0:37:00-0:38:00	In Arena	1.62899	40	1.84	2	0.24	9	56.72	109.436	48.6829	2735.89	4	2
Medium	Trial     6	C3	0:38:00-0:39:00	In Arena	3.84579	252	10.64	4	0.6	65	40.84	84.1962	22.0966	2104.91	7	3
Medium	Trial     6	C3	0:39:00-0:40:00	In Arena	2.79831	135	6.12	4	0.8	35	49.48	101.312	33.4527	2532.79	4	2
Medium	Trial     6	C3	0:40:00-0:41:00	In Arena	2.55399	123	5.2	2	0.28	48	51.16	96.5172	33.2652	2412.93	5	3
Medium	Trial     6	C3	0:41:00-0:42:00	In Arena	3.1616	164	6.8	1	0.24	59	48.12	90.6614	26.863	2266.54	13	8
Medium	Trial     6	C3	0:42:00-0:43:00	In Arena	2.60402	120	5.4	3	0.64	36	50.44	98.7803	38.0809	2469.51	6	3
Medium	Trial     6	C3	0:43:00-0:44:00	In Arena	2.08588	69	3.12	4	0.52	18	54.6	107.14	42.9267	2678.51	2	5
Medium	Trial     6	C3	0:44:00-0:45:00	In Arena	2.62896	113	5.16	6	0.8	49	51.12	104.513	32.7969	2612.83	4	2
Vehicle	Trial     1	A1	0:14:00-0:15:00	In Arena	2.4306	14	0.76	1	0.2	10	37.68	118.072	29.394	2951.81	5	9
Vehicle	Trial     1	A1	0:15:00-0:16:00	In Arena	2.61821	45	1.8	0	0	30	57.12	119.176	30.1008	2979.39	16	16
Vehicle	Trial     1	A1	0:16:00-0:17:00	In Arena	1.42205	6	0.24	0	0	3	59.52	120.064	46.2347	3001.6	3	5
Vehicle	Trial     1	A1	0:17:00-0:18:00	In Arena	0.791299	0	0	0	0	1	60	119.717	53.7093	2992.93	0	0
Vehicle	Trial     1	A1	0:18:00-0:19:00	In Arena	0.814001	0	0	0	0	1	60	119.439	50.9707	2985.98	0	0
Vehicle	Trial     1	A1	0:19:00-0:20:00	In Arena	0.821035	0	0	0	0	1	60	119.877	51.4581	2996.92	0	0
Vehicle	Trial     1	A1	0:20:00-0:21:00	In Arena	0.899306	0	0	0	0	1	60	118.808	46.5126	2970.2	0	0
Vehicle	Trial     1	A1	0:21:00-0:22:00	In Arena	0.843606	0	0	0	0	1	60	117.782	52.4295	2944.56	0	0
Vehicle	Trial     1	A1	0:22:00-0:23:00	In Arena	0.840786	0	0	0	0	1	60	120.222	47.888	3005.55	0	0
Vehicle	Trial     1	A1	0:23:00-0:24:00	In Arena	0.859976	0	0	0	0	1	60	116.669	47.7718	2916.73	0	0
Vehicle	Trial     1	A1	0:24:00-0:25:00	In Arena	0.857709	0	0	0	0	1	60	119.087	49.7241	2977.18	0	0
Vehicle	Trial     1	A1	0:25:00-0:26:00	In Arena	0.842774	0	0	0	0	1	60	120.593	49.0637	3014.82	0	0
Vehicle	Trial     1	A1	0:26:00-0:27:00	In Arena	0.809263	0	0	0	0	1	60	117.741	54.1345	2943.53	0	0
Vehicle	Trial     1	A1	0:27:00-0:28:00	In Arena	0.847907	0	0	0	0	1	60	119.355	49.3538	2983.88	0	0
Vehicle	Trial     1	A1	0:28:00-0:29:00	In Arena	0.826509	0	0	0	0	1	60	118.448	48.0699	2961.2	0	0
Vehicle	Trial     1	A1	0:29:00-0:30:00	In Arena	0.804717	0	0	0	0	1	60	118.546	49.8833	2963.64	0	0
Vehicle	Trial     1	A1	0:30:00-0:31:00	In Arena	1.40987	33	1.96	4	0.76	7	56.8	113.647	64.6217	2841.17	1	2
Vehicle	Trial     1	A1	0:31:00-0:32:00	In Arena	0.669295	0	0	0	0	1	60	118.646	64.2754	2966.16	0	0
Vehicle	Trial     1	A1	0:32:00-0:33:00	In Arena	0.851036	2	0.28	1	0.2	2	59.64	116.899	59.7946	2922.47	0	0
Vehicle	Trial     1	A1	0:33:00-0:34:00	In Arena	0.753133	0	0	0	0	1	60	118.981	59.799	2974.51	0	0
Vehicle	Trial     1	A1	0:34:00-0:35:00	In Arena	0.778628	0	0	0	0	1	60	118.299	52.5163	2957.48	0	0
Vehicle	Trial     1	A1	0:35:00-0:36:00	In Arena	1.56345	44	2.24	4	0.56	15	6.6	114.896	63.9908	2872.4	1	1
Vehicle	Trial     1	A1	0:36:00-0:37:00	In Arena	0.634498	0	0	0	0	0	0	118.88	68.8507	2972	0	0
Vehicle	Trial     1	A1	0:37:00-0:38:00	In Arena	0.609868	0	0	0	0	0	0	119.364	73.5005	2984.1	0	0
Vehicle	Trial     1	A1	0:38:00-0:39:00	In Arena	0.575677	0	0	0	0	0	0	119.227	75.479	2980.69	0	0
Vehicle	Trial     1	A1	0:39:00-0:40:00	In Arena	0.607146	0	0	0	0	0	0	118.474	66.3739	2961.85	0	0
Vehicle	Trial     1	A1	0:40:00-0:41:00	In Arena	0.614108	0	0	0	0	0	0	119.676	68.0325	2991.9	0	0
Vehicle	Trial     1	A1	0:41:00-0:42:00	In Arena	0.610685	0	0	0	0	0	0	120.979	70.3803	3024.48	0	0
Vehicle	Trial     1	A1	0:42:00-0:43:00	In Arena	0.604846	0	0	0	0	0	0	119.762	65.7601	2994.06	0	0
Vehicle	Trial     1	A1	0:43:00-0:44:00	In Arena	0.629839	0	0	0	0	0	0	119.155	66.8016	2978.86	0	0
Vehicle	Trial     1	A1	0:44:00-0:45:00	In Arena	0.591281	0	0	0	0	0	0	119.871	69.8758	2996.78	0	0
Vehicle	Trial     1	A2	Start-0:01:00	In Arena	0.751086	3	0.12	0	0	2	59.64	119.746	69.5127	2993.66	0	0
Vehicle	Trial     1	A2	0:01:00-0:02:00	In Arena	0.6968	0	0	0	0	1	60	121.685	60.1012	3042.11	0	0
Vehicle	Trial     1	A2	0:02:00-0:03:00	In Arena	0.715356	0	0	0	0	1	60	119.419	61.1211	2985.49	0	0
Vehicle	Trial     1	A2	0:03:00-0:04:00	In Arena	0.682358	0	0	0	0	1	60	119.259	65.6649	2981.48	0	0
Vehicle	Trial     1	A2	0:04:00-0:05:00	In Arena	0.695905	0	0	0	0	1	60	119.216	64.1985	2980.41	0	0
Vehicle	Trial     1	A2	0:05:00-0:06:00	In Arena	0.701779	0	0	0	0	2	59.92	121.069	63.435	3026.72	0	0
Vehicle	Trial     1	A2	0:06:00-0:07:00	In Arena	0.699246	0	0	0	0	1	60	120.575	59.9952	3014.38	0	0
Vehicle	Trial     1	A2	0:07:00-0:08:00	In Arena	0.677605	0	0	0	0	2	59.96	120.14	66.2912	3003.51	0	0
Vehicle	Trial     1	A2	0:08:00-0:09:00	In Arena	0.685584	0	0	0	0	2	59.92	120.179	62.8045	3004.48	0	0
Vehicle	Trial     1	A2	0:09:00-0:10:00	In Arena	0.677023	0	0	0	0	2	59.88	119.258	62.8287	2981.45	0	0
Vehicle	Trial     1	A2	0:10:00-0:11:00	In Arena	0.652557	0	0	0	0	1	60	117.723	63.6921	2943.08	0	0
Vehicle	Trial     1	A2	0:11:00-0:12:00	In Arena	0.682262	0	0	0	0	1	60	118.451	66.8905	2961.28	0	0
Vehicle	Trial     1	A2	0:12:00-0:13:00	In Arena	0.661512	0	0	0	0	2	59.96	117.433	65.8491	2935.84	0	0
Vehicle	Trial     1	A2	0:13:00-0:14:00	In Arena	0.669248	0	0	0	0	1	60	120.325	62.9926	3008.14	0	0
Vehicle	Trial     1	A2	0:14:00-0:15:00	In Arena	0.644709	0	0	0	0	1	60	120.526	66.2084	3013.16	0	0
Vehicle	Trial     1	A2	0:15:00-0:16:00	In Arena	2.50957	51	2.48	4	0.52	22	56	105.946	29.6268	2648.66	2	6
Vehicle	Trial     1	A2	0:16:00-0:17:00	In Arena	4.14818	252	10.68	3	0.6	92	41.72	110.558	21.0373	2763.95	24	32
Vehicle	Trial     1	A2	0:17:00-0:18:00	In Arena	4.12924	281	11.56	2	0.4	103	39.36	111.162	19.9671	2779.05	31	19
Vehicle	Trial     1	A2	0:18:00-0:19:00	In Arena	3.88096	264	10.76	1	0.2	87	40.44	114.83	24.6532	2870.74	24	27
Vehicle	Trial     1	A2	0:19:00-0:20:00	In Arena	3.59358	79	3.16	0	0	28	9.72	114.804	22.3718	2870.09	5	7
Vehicle	Trial     1	A2	0:20:00-0:21:00	In Arena	NA	0	0	0	0	0	0	NA	NA	NA	0	0
Vehicle	Trial     1	A2	0:22:00-0:23:00	In Arena	NA	0	0	0	0	0	0	NA	NA	NA	0	0
Vehicle	Trial     1	A2	0:23:00-0:24:00	In Arena	6.64158	4	0.16	0	0	2	0.24	127.333	4.33008	3183.33	1	0
Vehicle	Trial     1	A2	0:24:00-0:25:00	In Arena	3.91913	3	0.12	0	0	7	1.08	99.3865	3.89225	2484.66	0	2
Vehicle	Trial     1	A2	0:25:00-0:26:00	In Arena	3.60944	0	0	0	0	7	1.28	166.355	14.1196	4158.88	0	1
Vehicle	Trial     1	A2	0:26:00-0:27:00	In Arena	3.32263	36	3.72	9	2.52	5	35.84	112.094	45.1845	2802.36	7	6
Vehicle	Trial     1	A2	0:27:00-0:28:00	In Arena	0.590744	0	0	0	0	0	0	118.052	72.8099	2951.3	0	0
Vehicle	Trial     1	A2	0:28:00-0:29:00	In Arena	0.553384	0	0	0	0	0	0	119.938	79.6023	2998.45	0	0
Vehicle	Trial     1	A2	0:29:00-0:30:00	In Arena	0.549	0	0	0	0	0	0	119.517	76.3265	2987.92	0	0
Vehicle	Trial     1	A2	0:30:00-0:31:00	In Arena	0.470255	0	0	0	0	0	0	119.843	96.7185	2996.07	0	0
Vehicle	Trial     1	A2	0:31:00-0:32:00	In Arena	0.503514	0	0	0	0	0	0	119.142	84.2833	2978.54	0	0
Vehicle	Trial     1	A2	0:32:00-0:33:00	In Arena	0.541069	0	0	0	0	0	0	120.53	78.6224	3013.24	0	0
Vehicle	Trial     1	A2	0:33:00-0:34:00	In Arena	0.596033	0	0	0	0	0	0	119.222	73.6949	2980.54	0	0
Vehicle	Trial     1	A2	0:34:00-0:35:00	In Arena	0.602451	0	0	0	0	0	0	120.266	70.5695	3006.66	0	0
Vehicle	Trial     1	A2	0:35:00-0:36:00	In Arena	0.752055	0	0	0	0	0	0	118.672	58.4645	2966.8	0	0
Vehicle	Trial     1	A2	0:36:00-0:37:00	In Arena	0.693566	0	0	0	0	0	0	118.487	63.6516	2962.18	0	0
Vehicle	Trial     1	A2	0:37:00-0:38:00	In Arena	0.671553	0	0	0	0	0	0	122.084	67.1122	3052.1	0	0
Vehicle	Trial     1	A2	0:38:00-0:39:00	In Arena	0.639533	0	0	0	0	0	0	119.759	66.4025	2993.99	0	0
Vehicle	Trial     1	A2	0:39:00-0:40:00	In Arena	0.636731	0	0	0	0	0	0	119.548	69.0255	2988.7	0	0
Vehicle	Trial     1	A2	0:40:00-0:41:00	In Arena	0.642446	0	0	0	0	0	0	120.495	69.1565	3012.38	0	0
Vehicle	Trial     1	A2	0:41:00-0:42:00	In Arena	0.61869	0	0	0	0	0	0	119.022	66.8422	2975.56	0	0
Vehicle	Trial     1	A2	0:42:00-0:43:00	In Arena	0.595516	0	0	0	0	0	0	118.938	73.2667	2973.45	0	0
Vehicle	Trial     1	A2	0:43:00-0:44:00	In Arena	0.58962	0	0	0	0	0	0	118.377	71.494	2959.42	0	0
Vehicle	Trial     1	A2	0:44:00-0:45:00	In Arena	0.61693	0	0	0	0	0	0	120.116	68.6176	3002.91	0	0
Vehicle	Trial     1	C3	0:12:00-0:13:00	In Arena	7.05602	3	0.12	0	0	2	0.4	59.5002	32.4965	1487.5	0	0
Vehicle	Trial     1	C3	0:18:00-0:19:00	In Arena	0.895243	4	0.2	1	0.08	2	52.44	119.887	55.1145	2997.18	0	0
Vehicle	Trial     1	C3	0:19:00-0:20:00	In Arena	0.802067	0	0	0	0	1	60	119.763	51.5406	2994.08	0	0
Vehicle	Trial     1	C3	0:20:00-0:21:00	In Arena	1.37423	22	1.4	4	0.6	6	57.84	117.668	50.8115	2941.71	1	0
Vehicle	Trial     1	C3	0:21:00-0:22:00	In Arena	0.668051	0	0	0	0	1	60	123.718	58.6465	3092.95	0	0
Vehicle	Trial     1	C3	0:22:00-0:23:00	In Arena	0.765673	5	0.2	0	0	4	59.64	121.425	62.4585	3035.62	0	1
Vehicle	Trial     1	C3	0:23:00-0:24:00	In Arena	0.635066	0	0	0	0	1	60	120.807	66.7879	3020.18	0	0
Vehicle	Trial     1	C3	0:24:00-0:25:00	In Arena	0.598093	0	0	0	0	1	60	122.314	73.3658	3057.85	0	0
Vehicle	Trial     1	C3	0:25:00-0:26:00	In Arena	0.55487	0	0	0	0	1	60	121.156	75.5584	3028.89	0	0
Vehicle	Trial     1	C3	0:26:00-0:27:00	In Arena	0.548429	0	0	0	0	1	60	121.874	76.9068	3046.84	0	0
Vehicle	Trial     1	C3	0:27:00-0:28:00	In Arena	0.544925	0	0	0	0	1	60	121.444	76.6501	3036.1	0	0
Vehicle	Trial     1	C3	0:28:00-0:29:00	In Arena	0.552744	0	0	0	0	1	60	121.966	70.9792	3049.14	0	0
Vehicle	Trial     1	C3	0:29:00-0:30:00	In Arena	0.64461	3	0.12	0	0	2	59.76	121.775	67.2498	3044.38	1	0
Vehicle	Trial     1	C3	0:30:00-0:31:00	In Arena	0.608272	0	0	0	0	1	60	124.082	70.525	3102.04	0	0
Vehicle	Trial     1	C3	0:31:00-0:32:00	In Arena	0.637999	0	0	0	0	1	60	123.335	64.2174	3083.37	0	0
Vehicle	Trial     1	C3	0:32:00-0:33:00	In Arena	0.770279	2	0.28	1	0.2	2	59.64	120.723	61.899	3018.07	0	0
Vehicle	Trial     1	C3	0:33:00-0:34:00	In Arena	0.693621	0	0	0	0	1	60	120.847	67.8018	3021.18	0	0
Vehicle	Trial     1	C3	0:34:00-0:35:00	In Arena	0.705868	0	0	0	0	1	60	119.58	61.9852	2989.51	0	0
Vehicle	Trial     1	C3	0:35:00-0:36:00	In Arena	0.900485	12	0.48	0	0	3	37.92	118.193	57.2866	2954.81	1	0
Vehicle	Trial     1	C3	0:36:00-0:37:00	In Arena	0.602749	0	0	0	0	0	0	119.689	65.0749	2992.22	0	0
Vehicle	Trial     1	C3	0:37:00-0:38:00	In Arena	0.612767	0	0	0	0	0	0	121.129	64.3098	3028.22	0	0
Vehicle	Trial     1	C3	0:38:00-0:39:00	In Arena	0.593615	0	0	0	0	0	0	120.44	68.1558	3011.01	0	0
Vehicle	Trial     1	C3	0:39:00-0:40:00	In Arena	0.603812	0	0	0	0	0	0	121.79	64.8047	3044.74	0	0
Vehicle	Trial     1	C3	0:40:00-0:41:00	In Arena	0.592729	0	0	0	0	0	0	122.548	65.4335	3063.7	0	0
Vehicle	Trial     1	C3	0:41:00-0:42:00	In Arena	0.601428	0	0	0	0	0	0	122.323	69.738	3058.08	0	0
Vehicle	Trial     1	C3	0:42:00-0:43:00	In Arena	0.590832	0	0	0	0	0	0	122.803	68.2872	3070.08	0	0
Vehicle	Trial     1	C3	0:43:00-0:44:00	In Arena	0.587502	0	0	0	0	0	0	124.121	65.4995	3103.01	0	0
Vehicle	Trial     1	C3	0:44:00-0:45:00	In Arena	0.576085	0	0	0	0	0	0	121.917	68.5659	3047.94	0	0
Vehicle	Trial     2	A4	Start-0:01:00	In Arena	7.36381	10	1	5	0.8	1	0.2	70.8387	0.714981	1770.97	0	0
Vehicle	Trial     2	A4	0:01:00-0:02:00	In Arena	1.25269	4	0.16	1	0.04	15	8.36	124.992	41.5654	3124.8	2	0
Vehicle	Trial     2	A4	0:02:00-0:03:00	In Arena	1.29621	1	0.04	0	0	17	6.84	128.412	33.0933	3210.29	0	2
Vehicle	Trial     2	A4	0:03:00-0:04:00	In Arena	3.29736	18	0.84	1	0.12	23	9.68	126.597	16.4483	3164.94	2	5
Vehicle	Trial     2	A4	0:04:00-0:05:00	In Arena	NA	0	0	0	0	4	0.8	NA	NA	NA	0	1
Vehicle	Trial     2	A4	0:05:00-0:06:00	In Arena	2.61858	0	0	0	0	10	2.04	NA	NA	NA	3	1
Vehicle	Trial     2	A4	0:06:00-0:07:00	In Arena	4.04717	0	0	0	0	12	2.48	NA	NA	NA	0	1
Vehicle	Trial     2	A4	0:07:00-0:08:00	In Arena	5.42627	59	2.72	3	0.4	19	12.08	84.088	27.6692	2102.2	0	2
Vehicle	Trial     2	A4	0:08:00-0:09:00	In Arena	2.86196	47	2.8	6	1.08	10	55.56	115.661	35.3935	2891.51	2	7
Vehicle	Trial     2	A4	0:09:00-0:10:00	In Arena	1.80134	6	0.24	0	0	6	59.64	123.022	34.9682	3075.56	8	6
Vehicle	Trial     2	A4	0:10:00-0:11:00	In Arena	1.72962	3	0.12	0	0	3	59.8	122.875	37.1203	3071.88	8	6
Vehicle	Trial     2	A4	0:11:00-0:12:00	In Arena	1.62716	3	0.12	0	0	3	59.8	123.396	39.7319	3084.9	8	4
Vehicle	Trial     2	A4	0:12:00-0:13:00	In Arena	1.64761	2	0.08	0	0	3	59.92	121.429	37.0221	3035.72	8	8
Vehicle	Trial     2	A4	0:13:00-0:14:00	In Arena	1.67285	7	0.28	0	0	7	59.44	118.915	35.9033	2972.87	7	8
Vehicle	Trial     2	A4	0:14:00-0:15:00	In Arena	2.53472	29	1.84	0	0	12	18.12	123.554	31.7499	3088.86	9	4
Vehicle	Trial     2	A4	0:15:00-0:16:00	In Arena	5.33394	63	5.48	5	2.92	19	45	119.474	48.0054	2986.85	4	6
Vehicle	Trial     2	A4	0:16:00-0:17:00	In Arena	1.27036	0	0	0	0	2	59.88	140.301	40.5731	3507.52	0	0
Vehicle	Trial     2	A4	0:17:00-0:18:00	In Arena	1.28316	0	0	0	0	1	60	141.09	40.3327	3527.25	0	0
Vehicle	Trial     2	A4	0:18:00-0:19:00	In Arena	1.37342	0	0	0	0	1	60	142.32	38.481	3558	0	0
Vehicle	Trial     2	A4	0:19:00-0:20:00	In Arena	1.37998	0	0	0	0	1	60	141.147	38.3269	3528.66	0	0
Vehicle	Trial     2	A4	0:20:00-0:21:00	In Arena	6.34135	286	13.96	16	2.84	44	35.32	83.6567	17.8809	2091.42	6	9
Vehicle	Trial     2	A4	0:21:00-0:22:00	In Arena	4.89536	243	10.68	8	1.04	39	40.24	83.5005	15.876	2087.51	4	3
Vehicle	Trial     2	A4	0:22:00-0:23:00	In Arena	6.20829	290	13.56	10	2.08	59	36.2	87.7924	11.1902	2194.81	8	5
Vehicle	Trial     2	A4	0:23:00-0:24:00	In Arena	5.24605	257	11.88	11	1.8	55	39.04	89.6934	15.9485	2242.33	8	6
Vehicle	Trial     2	A4	0:24:00-0:25:00	In Arena	4.59983	189	9.32	9	1.84	45	44.08	87.9885	22.2819	2199.71	2	11
Vehicle	Trial     2	A4	0:25:00-0:26:00	In Arena	2.20796	35	1.88	3	0.56	7	56.8	125.984	38.8458	3149.6	1	2
Vehicle	Trial     2	A4	0:26:00-0:27:00	In Arena	1.43111	0	0	0	0	1	60	132.619	38.1309	3315.47	3	0
Vehicle	Trial     2	A4	0:27:00-0:28:00	In Arena	2.2601	16	1.2	6	0.72	6	58.32	134.498	32.9303	3362.45	5	2
Vehicle	Trial     2	A4	0:28:00-0:29:00	In Arena	2.83295	40	1.88	2	0.32	18	57	119.261	25.3526	2981.53	10	14
Vehicle	Trial     2	A4	0:29:00-0:30:00	In Arena	2.38393	13	0.52	0	0	10	59.08	122.494	29.508	3062.36	11	11
Vehicle	Trial     2	A4	0:30:00-0:31:00	In Arena	2.31807	61	2.92	2	0.52	26	55.32	119.738	36.9373	2993.45	5	14
Vehicle	Trial     2	A4	0:31:00-0:32:00	In Arena	1.35705	20	1.04	1	0.28	3	58.2	119.974	46.4424	2999.34	1	0
Vehicle	Trial     2	A4	0:32:00-0:33:00	In Arena	1.03222	0	0	0	0	1	60	125.596	43.5897	3139.89	0	0
Vehicle	Trial     2	A4	0:33:00-0:34:00	In Arena	1.06057	0	0	0	0	1	60	121.552	42.0126	3038.79	0	0
Vehicle	Trial     2	A4	0:34:00-0:35:00	In Arena	2.44631	77	3.64	2	0.6	24	53.88	117.153	32.6231	2928.83	6	5
Vehicle	Trial     2	A4	0:35:00-0:36:00	In Arena	3.48685	167	6.68	0	0	52	36.64	120.558	24.1478	3013.94	20	22
Vehicle	Trial     2	A4	0:36:00-0:37:00	In Arena	1.7728	19	1.04	2	0.36	9	47.44	117.483	38.0793	2937.07	1	6
Vehicle	Trial     2	A4	0:37:00-0:38:00	In Arena	1.23488	0	0	0	0	2	59.92	116.265	42.2837	2906.61	5	5
Vehicle	Trial     2	A4	0:38:00-0:39:00	In Arena	1.41085	3	0.12	0	0	3	59.84	118.94	37.5196	2973.51	6	6
Vehicle	Trial     2	A4	0:39:00-0:40:00	In Arena	1.43227	4	0.16	0	0	4	59.72	119.458	39.4097	2986.45	5	4
Vehicle	Trial     2	A4	0:40:00-0:41:00	In Arena	1.74877	13	0.52	0	0	8	59.16	120.191	36.0649	3004.77	8	9
Vehicle	Trial     2	A4	0:41:00-0:42:00	In Arena	1.91046	13	0.52	0	0	7	59.16	121.373	29.2194	3034.33	10	6
Vehicle	Trial     2	A4	0:42:00-0:43:00	In Arena	1.91848	14	0.56	0	0	10	59.12	123.15	28.9233	3078.75	5	10
Vehicle	Trial     2	A4	0:43:00-0:44:00	In Arena	1.76047	12	0.48	0	0	9	59.24	125.217	31.9189	3130.42	5	6
Vehicle	Trial     2	A4	0:44:00-0:45:00	In Arena	1.97498	14	0.56	0	0	9	52.6	122.334	31.6181	3058.36	9	13
Vehicle	Trial     2	B2	0:05:00-0:06:00	In Arena	1.46202	4	0.36	1	0.24	2	30.12	116.181	60.6029	2904.52	2	6
Vehicle	Trial     2	B2	0:06:00-0:07:00	In Arena	1.44095	6	0.24	0	0	6	59.68	120.283	55.4375	3007.07	6	13
Vehicle	Trial     2	B2	0:07:00-0:08:00	In Arena	1.65259	5	0.2	0	0	4	59.68	119.868	54.4249	2996.7	4	15
Vehicle	Trial     2	B2	0:08:00-0:09:00	In Arena	1.59014	5	0.2	0	0	5	59.68	120.913	50.4319	3022.83	6	6
Vehicle	Trial     2	B2	0:09:00-0:10:00	In Arena	1.7872	19	0.76	0	0	12	58.64	121.857	53.3952	3046.44	5	14
Vehicle	Trial     2	B2	0:10:00-0:11:00	In Arena	1.80424	10	0.4	0	0	9	59.4	117.298	52.2475	2932.44	8	17
Vehicle	Trial     2	B2	0:11:00-0:12:00	In Arena	1.71837	9	0.36	0	0	8	59.44	120.688	56.9065	3017.2	3	14
Vehicle	Trial     2	B2	0:12:00-0:13:00	In Arena	1.9063	13	0.52	0	0	11	59.08	120.446	49.8754	3011.16	5	14
Vehicle	Trial     2	B2	0:13:00-0:14:00	In Arena	1.7728	7	0.28	0	0	6	59.52	120.416	58.2638	3010.41	3	13
Vehicle	Trial     2	B2	0:14:00-0:15:00	In Arena	1.80067	9	0.36	0	0	7	59.36	119.803	53.1629	2995.07	7	14
Vehicle	Trial     2	B2	0:15:00-0:16:00	In Arena	1.75698	37	1.76	2	0.32	12	56.96	115.643	37.1995	2891.08	2	4
Vehicle	Trial     2	B2	0:16:00-0:17:00	In Arena	0.966469	0	0	0	0	2	59.88	119.587	44.8105	2989.68	0	0
Vehicle	Trial     2	B2	0:17:00-0:18:00	In Arena	0.987523	0	0	0	0	1	60	118.784	42.0369	2969.59	0	0
Vehicle	Trial     2	B2	0:18:00-0:19:00	In Arena	1.00614	0	0	0	0	1	60	118.664	46.6664	2966.6	0	0
Vehicle	Trial     2	B2	0:19:00-0:20:00	In Arena	1.11012	0	0	0	0	1	60	121.13	42.1428	3028.25	0	1
